time_s,scenario,xA,xB,xC,s1_out,s2_out,s3_out,n1_out_cum,n2_out_cum,n3_out_cum,nu1,nu2,nu3,a1,a2,a3,q1,q2,q3,lambda1_in,lambda2_in,m3_setup,fault_m2,fA_pull,fB_pull,wA,wB,g_block_A,g_block_B,g_pull_A,g_pull_B,g_down
0.0,piecewise,10.0,10.0,15.0,1.188,0.99,1.8,1.188,0.99,1.8,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08,0.9802086624055292,0.0,0.0,0.8999999999996225,0.8999999999996225,0.5,0.5,1.0,1.0,0.9999999999995806,0.9999999999995806,1.0
1.0,piecewise,8.992000000000377,9.090208662405907,14.999999999999245,1.188,0.99,1.8,2.376,1.98,3.6,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08075397611218,0.9804405368142483,0.0,0.0,0.8946967936011777,0.9053032063852853,0.497053774227165,0.502946225772835,1.0,1.0,0.999999999991372,0.9999999999935738,1.0
2.0,piecewise,7.99005718251138,8.17534599283487,14.999999999985707,1.188,0.99,1.8,3.564,2.9699999999999998,5.4,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0815079154766276,0.9806697867134877,0.0,0.0,0.889994816280871,0.9100051834730083,0.4944415646866712,0.5055584353133288,1.0,1.0,0.9999999998256874,0.9999999999000186,1.0
3.0,piecewise,6.993570281707137,7.25601059607535,14.999999999739586,1.188,0.99,1.8,4.752,3.96,7.2,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0822617813474025,0.9808964046235791,0.0,0.0,0.885829391135027,0.9141706043548294,0.4921274412244122,0.5078725587755878,1.0,1.0,0.9999999965355462,0.9999999984234578,1.0
4.0,piecewise,6.002002671919512,6.3327363963440995,14.999999995229443,1.188,0.99,1.8,5.9399999999999995,4.95,9.0,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0830155369821455,0.9811203831507272,0.0,0.0,0.8821426629462065,0.917857254114203,0.4900792904428325,0.5099207095571675,1.0,1.0,0.9999999321528247,0.9999999748450015,1.0
5.0,piecewise,5.0148755459554515,5.405999525380624,14.999999912289852,1.188,0.99,1.8,7.127999999999999,5.94,10.8,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.08376914564387,0.9813417149872515,0.0,0.0,0.8788820291359697,0.921116444974305,0.48826843414349724,0.5117315658565027,1.0,1.0,0.9999986888788526,0.9999995944408001,1.0
6.0,piecewise,4.031762662463352,4.476224795393571,14.999998386400126,1.188,0.99,1.8,8.315999999999999,6.930000000000001,12.600000000000001,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0845225706027537,0.9815603929118241,0.0,0.0,0.87598280368878,0.9239891703232378,0.48666929598438496,0.5133307040156151,1.0,1.0,0.9999749669353457,0.9999934015843093,1.0
7.0,piecewise,3.0523024293773258,3.543796017982157,14.999970360412144,1.188,0.99,1.8,9.504,7.920000000000001,14.400000000000002,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0852757751379263,0.9817764097897047,0.0,0.0,0.8730542856174577,0.9264327087104339,0.485259465067694,0.5147405349323061,1.0,1.0,0.9995274561181478,0.9998917964371115,1.0
8.0,piecewise,2.076523918897794,2.609139719061428,14.999457354740036,1.188,0.99,1.8,10.692,8.91,16.200000000000003,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0860287225392617,0.9819897585729754,0.0,0.0,0.8636225292402104,0.9270950823308137,0.48402696309441096,0.5159730369055892,1.0,1.0,0.9912470391215676,0.998216547527388,1.0
9.0,piecewise,1.1109301121968456,1.6740343953035897,14.99017496631106,1.188,0.99,1.8,11.88,9.9,18.000000000000004,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.086781376109166,0.9822004323007687,0.0,0.0,0.7496801595553729,0.9037031624024424,0.48311329647138673,0.5168867035286133,1.0,1.0,0.8620937998866071,0.9713101711040801,1.0
10.0,piecewise,0.2600313287506387,0.762531665201916,14.843558288268875,1.188,0.99,1.8,13.068000000000001,10.89,19.800000000000004,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0875336991643656,0.9824084240994957,0.0,0.0,0.2600313287506387,0.6372278743735739,0.48492955609339783,0.5150704439066023,1.0,1.0,0.3274136796814194,0.6873146963705224,1.0
11.0,piecewise,0.0,0.11771221492783779,13.940817491393087,1.188,0.99,1.8,14.256000000000002,11.88,21.600000000000005,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0882856550376965,0.9826137271830694,0.0,0.0,0.0,0.11771221492783779,0.496468692268431,0.5035313077315688,1.0,1.0,0.18242552380635635,0.24106247029402328,1.0
12.0,piecewise,0.0,0.0,12.258529706320925,1.188,0.99,1.7999999999999992,15.444000000000003,12.870000000000001,23.400000000000006,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0890372070798902,0.9828163348531275,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
13.0,piecewise,0.0,0.0,10.458529706320926,1.188,0.99,1.7999999999998093,16.632,13.860000000000001,25.199999999999815,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0897883186613604,0.9830162404992496,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
14.0,piecewise,0.0,0.0,8.658529706321117,1.188,0.99,1.7999999999577663,17.82,14.850000000000001,26.99999999995758,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0905389531739882,0.9832134375991739,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
15.0,piecewise,0.0,0.0,6.858529706363351,1.188,0.99,1.7999999906491864,19.008,15.840000000000002,28.799999990606768,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0912890740329064,0.9834079197190089,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
16.0,piecewise,0.0,0.0,5.058529715714164,1.188,0.99,1.7999979296722552,20.195999999999998,16.830000000000002,30.599997920279023,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.092038644678283,0.9835996805134444,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
17.0,piecewise,0.0,0.0,3.2585317860419094,1.188,0.99,1.7995417351735228,21.383999999999997,17.82,32.39953965545254,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0927876285771023,0.9837887137259579,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
18.0,piecewise,0.0,0.0,1.4589900508683866,1.188,0.99,1.7040531179092153,22.571999999999996,18.81,34.10359277336176,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.093535989224945,0.9839750131890193,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
19.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,23.759999999999994,19.799999999999997,34.4319587162132,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0942836901477693,0.984158572824291,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
20.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,24.947999999999993,20.789999999999996,34.76032465906464,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0950306949036872,0.9843393866428275,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
21.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,26.135999999999992,21.779999999999994,35.088690601916085,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0957769670847406,0.9845174487452703,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
22.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,27.32399999999999,22.769999999999992,35.417056544767526,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0965224703186762,0.9846927533220399,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
23.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,28.51199999999999,23.75999999999999,35.74542248761897,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0972671682707182,0.984865294653526,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
24.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,29.69999999999999,24.74999999999999,36.07378843047041,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.098011024645339,0.9850350671102739,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
25.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,30.887999999999987,25.739999999999988,36.40215437332185,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0987540031880285,0.9852020651531683,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
26.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,32.075999999999986,26.729999999999986,36.73052031617329,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.0994960676870604,0.9853662833336133,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
27.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,33.26399999999999,27.719999999999985,37.05888625902473,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1002371819752583,0.9855277162937115,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
28.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,34.45199999999999,28.709999999999983,37.38725220187617,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1009773099317572,0.9856863587664377,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
29.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,35.63999999999999,29.69999999999998,37.715618144727614,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1017164154837642,0.985842205575811,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
30.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,36.827999999999996,30.68999999999998,38.043984087579055,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1024544626083181,0.9859952516370638,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
31.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,38.016,31.67999999999998,38.372350030430496,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.103191415334043,0.9861454919568079,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
32.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,39.204,32.66999999999998,38.70071597328194,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1039272377429026,0.9862929216331969,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
33.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,40.392,33.65999999999998,39.02908191613338,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.104661893971951,0.9864375358560868,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
34.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,41.580000000000005,34.649999999999984,39.35744785898482,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.10539534821508,0.9865793299071922,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
35.0,piecewise,0.0,0.0,0.0,1.188,0.99,0.32836594285144144,42.76800000000001,35.639999999999986,39.68581380183626,1.2,1.0,1.8,1.0,1.0,1.0,0.99,0.99,1.0,1.1061275647247641,0.9867182991602408,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.18242552380635635,0.18242552380635635,1.0
